Time,PTSI,VSI,VCPI,Frequency,df/dt,Voltage
3.681667,0.3507030264,0.9995150286,0.0587215312,49.990633,-0.0545,0.959648
3.691667,0.3507030264,0.9995154961,0.0587215312,49.990088,-0.0552,0.959648
3.701667,0.3750584124,0.9994793119,0.0587215312,49.989536,-0.0558,0.959648
3.711667,0.3750584124,0.9994798064,0.058720428,49.988978,-0.0565,0.959649
3.721667,0.3786750013,0.9994708845,0.058720428,49.988413,-0.057,0.959649
3.731667,0.3786750013,0.9994713629,0.0587215312,49.987843,-0.0575,0.959648
3.741667,0.3802376008,0.9994695424,0.0587215312,49.987268,-0.058,0.959648
3.751667,0.3784377577,0.9994725491,0.0587226345,49.986688,-0.0585,0.959647
3.761667,0.3820849794,0.9994658068,0.0587237377,49.986103,-0.0589,0.959646
3.771667,0.3791436776,0.9994706316,0.0587259442,49.985514,-0.0593,0.959644
3.781667,0.3671970982,0.9994860069,0.0587281507,49.984921,-0.0597,0.959642
3.791667,0.3731271898,0.9994782442,0.0587314605,49.984324,-0.06,0.959639
3.801667,0.364789726,0.9994905802,0.0587347703,49.983724,-0.0603,0.959636
3.811667,0.357470795,0.9994982883,0.0587380801,49.983121,-0.0606,0.959633
3.821667,0.3322590481,0.9995305264,0.0587424932,49.982515,-0.0608,0.959629
3.831667,0.3291533849,0.999534527,0.0587480096,49.981907,-0.061,0.959624
3.841667,0.3040778025,0.9995683438,0.0587535261,49.981297,-0.0611,0.959619
3.851667,0.2737396972,0.9996015454,0.0587590427,49.980686,-0.0613,0.959614
3.861667,0.2199244596,0.9996815695,0.0587656626,49.980073,-0.0614,0.959608
3.871667,0.2493952728,0.9997582762,0.058773386,49.979459,-0.0615,0.959601
3.881667,0.3573243617,0.9999065343,0.0587811095,49.978844,-0.0615,0.959594
3.891667,0.8031606519,0.9999827897,0.0587899365,49.978229,-0.0615,0.959586
3.901667,1.4006607174,0.9994543812,0.058799867,49.977614,-0.0615,0.959577
3.911667,1.0700626594,0.9977986022,0.0588097977,49.976999,-0.0614,0.959568
3.921667,0.908933895,0.9984699584,0.0588208321,49.976385,-0.0614,0.959558
3.931667,0.7618673484,0.9988244522,0.0588318667,49.975771,-0.0612,0.959548
3.941667,0.7232058799,0.9989127231,0.0588429015,49.975159,-0.061,0.959538
